category,course_name,course_id
ARTIFICIAL ,1.Generative AI. ,
INTELLIGENCE ,"2.Artificial Intelligence (Intro, NLP, Computer Vision, Generative AI)",
INTELLIGENCE ,3.Advanced data Analytics. AI & Machine Learning.,
INTELLIGENCE ,"4.Data processing for Data Science with Python, SQL, and ETLs",
INTELLIGENCE ,5.Generative AI in the Workplace,
CLOUD ,6.Cloud Technologies (Azure/AWS/GCP) ,
DEVOPS ,"7.DevOps Methodologies (Linux, Docker, K8S, Azure DevOps)",
BIG DATA,"8.Big Data architectures (Ecos. Hadoop, Spark, Kafka, NoSQL)",
BIG DATA,"9.Streaming (Concepts, Kafka, Flink y Confluent)",
SOFTWARE  ,"10.Agile development methodologies (Scrum & Certif. P.O., and SAFe)",
DEVELOPMENT,"11.Fullstack (Spring, NodeJS, Angular, MongoDB)",
DEVELOPMENT,"12.Backend (Java, Sping Boot, SQL, Kafka, Docker/K8S, Observabilidad , Seguridad)",
DEVELOPMENT,"13.Software Development (Python, Java y Scala )",
DEVELOPMENT,14.C++ [en desarrollo],
QA,15.Testing & QA (Quality Assurance) ,
QA,16.Buenas prácticas y Calidad en el desarrollo del software [en desarrollo],
BUSINESS INTELLIGENCE,17.Visual Analytics (Power BI Básico + Power BI Avanzado),
BUSINESS INTELLIGENCE,"18.Data Analytics in the Cloud with Pyspark, Databricks and Snowflake",
Ciberseguridad ,19.Iniciación a la ciberseguridad [en desarrollo],
