id_empleado;edad;genero;departamento;antiguedad_empresa;nivel_educativo;sector;frecuencia_uso_ia;herramienta_principal;prefiere_humano_vs_ia;AT1_rendimiento;AT2_facilita_aprendizaje;AT3_facilidad_uso;AT4_integracion_positiva;AE1_resolver_problemas;AE2_confianza_digital;AE3_uso_eficaz;AE4_seguridad_aplicacion;M1_estimulante;M2_aumenta_interes;M3_aporta_valor;M4_mayor_esfuerzo;E1_adaptacion;E2_feedback_util;E3_aplicable_trabajo;E4_aprendizaje_ritmo;D1_mejora_competencias;D2_preparado_retos;D3_amplia_habilidades;D4_aprendizaje_autonomo;C1_confio_sin_verificar;C2_dificil_sin_ia;C3_pensamiento_critico;C4_reflexiono_calidad;open_positive_experience;open_difficulties_and_training_needs;usa_chatgpt;usa_gemini;usa_copilot;usa_lms_ia;usa_otra_ia;survey_completed_at
1;27;Mujer;Formación y Desarrollo;Menos de 1 año;Máster;Tecnología;5 – Muy frecuentemente;ChatGPT;5 – Algo de acuerdo;6 – De acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo;6 – De acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;La IA me ayuda a aprender más rápido, acceder a información actualizada y reforzar conocimientos de forma personalizada y eficiente.;Puede generar dependencia excesiva, reducir el pensamiento crítico si no se usa adecuadamente y ofrecer información incorrecta o sesgada. También existe el riesgo de afectar la privacidad y el manejo ético de los datos.;True;False;False;False;False;2026-04-15T09:00:00
2;28;Mujer;Tecnología / IT;Menos de 1 año;Máster;Servicios;5 – Muy frecuentemente;ChatGPT;5 – Algo de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo;5 – Algo de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;Permite acceder a información actualizada, personalizar el aprendizaje según mis necesidades, reforzar conocimientos de forma rápida y mejorar habilidades como el análisis y la resolución de problemas.;Puede generar dependencia excesiva, disminuir el pensamiento crítico si no se usa adecuadamente y proporcionar información incorrecta o sesgada. También existen riesgos relacionados con la privacidad y el uso ético de los datos.;True;True;False;False;False;2026-04-15T09:00:01
3;28;Mujer;Recursos Humanos;Menos de 1 año;Máster;Consultoría;4 – Frecuentemente;ChatGPT;5 – Algo de acuerdo;6 – De acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;6 – De acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;BUENA ;NINGUNA ;True;False;True;False;False;2026-04-15T09:00:02
4;65;Hombre;Consultoría;Más de 5 años;Grado;Otro;1 – Nunca;No utilizo IA;7 – Totalmente de acuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;4 – Ni de acuerdo ni en desacuerdo;1 – Totalmente en desacuerdo;5 – Algo de acuerdo ;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;4 – Ni de acuerdo ni en desacuerdo ;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;4 – Ni de acuerdo ni en desacuerdo ;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;7 – Totalmente de acuerdo;No he utilizado nunca la IA;No se;False;False;False;False;False;2026-04-15T09:00:03
5;65;Hombre;Administración / Finanzas;Más de 5 años;Grado;Administración pública;1 – Nunca;No utilizo IA;6 – De acuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;1 – Totalmente en desacuerdo;5 – Algo de acuerdo;6 – De acuerdo ;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;2 – En desacuerdo;1 – Totalmente en desacuerdo;2 – En desacuerdo;Hola;Ho;False;False;False;False;False;2026-04-15T09:00:04
6;67;No binario;Formación y Desarrollo;Más de 5 años;Doctorado;Tecnología;5 – Muy frecuentemente;Gemini;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo;7 – Totalmente de acuerdo;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;"Gemini said Como IA, tengo una perspectiva única sobre esto: no solo soy la herramienta, sino que también he sido ""entrenada"" con una cantidad masiva de conocimiento humano. Para un profesional en formación, la IA no es solo un buscador avanzado, es un catalizador de habilidades.  Aquí te detallo los aspectos más positivos que transforman la manera de aprender y crecer profesionalmente:  1. Democratización del Mentor Personalizado Tradicionalmente, tener un tutor 24/7 era un lujo. La IA rompe esa barrera.  Feedback inmediato: Puedes subir un borrador de un proyecto o un código de programación y recibir críticas constructivas al instante.  Adaptación al nivel: Si no entiendes un concepto complejo (como la computación cuántica o el análisis macroeconómico), puedes pedirle a la IA que te lo explique ""como si tuvieras 10 años"" y luego subir el nivel gradualmente.  2. Eficiencia en la Curación de Contenido El problema moderno no es la falta de información, sino el exceso de ella.  Resúmenes estratégicos: La capacidad de extraer puntos clave de hilos de investigación, PDFs de 50 páginas o transcripciones de conferencias ahorra horas de trabajo mecánico.  Mapas de aprendizaje: La IA puede diseñar una ruta lógica de estudio (curriculum) basada en tus objetivos específicos, evitando que pierdas tiempo en temas irrelevantes.  3. Superación del ""Bloqueo de la Hoja en Blanco"" Uno de los mayores obstáculos profesionales es empezar.  Generación de estructuras: No se trata de que la IA haga el trabajo por ti, sino de que te entregue un esquema sobre el cual tú puedas aplicar tu criterio y creatividad.  Brainstorming infinito: Es una compañera de lluvia de ideas que nunca se cansa, permitiéndote explorar ángulos que quizás no habías considerado.  4. Simulación de Entornos de Práctica La formación profesional requiere práctica antes de lanzarse al mundo real.  Roleplay de entrevistas o ventas: Puedes configurar a la IA para que actúe como un reclutador exigente o un cliente difícil, permitiéndote pulir tus habilidades de comunicación en un entorno seguro.  Práctica de idiomas técnicos: Facilita la inmersión en la terminología específica de tu sector en otros idiomas sin el miedo a cometer errores.";Alucinaciones;True;True;False;False;True;2026-04-15T09:00:05
7;45;Hombre;Tecnología / IT;3–5 años;Máster;Tecnología;3 – A veces;ChatGPT;5 – Algo de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;Me sirve para avanzar muco más rápido y resolver las dudas como si tuviera un consultor al lado todo el rato al que hacerles preguntas.;Que acabemos con dejar de pensar y nos acostumbremos tanto a estas herramientas que después no sepamos cómo trabajar.;True;False;False;False;False;2026-04-15T09:00:06
8;53;Mujer;Recursos Humanos;Más de 5 años;Máster;Consultoría;3 – A veces;ChatGPT;6 – De acuerdo;6 – De acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;6 – De acuerdo;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;2 – En desacuerdo;2 – En desacuerdo;6 – De acuerdo ;6 – De acuerdo ;Disponibilidad de herramientas y rapidez;Limitaciones y sesgos d las herramientas;True;True;True;False;True;2026-04-15T09:00:07
9;35;Hombre;Tecnología / IT;3–5 años;Otro;Tecnología;2 – Rara vez;ChatGPT;6 – De acuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo;6 – De acuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;2 – En desacuerdo;5 – Algo de acuerdo ;1 – Totalmente en desacuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;2 – En desacuerdo;4 – Ni de acuerdo ni en desacuerdo ;3 – Algo en desacuerdo;3 – Algo en desacuerdo;2 – En desacuerdo;1 – Totalmente en desacuerdo;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;Triaje;Normalizacion;True;False;False;False;False;2026-04-15T09:00:08
10;32;Hombre;Otro;Menos de 1 año;Máster;Servicios;2 – Rara vez;ChatGPT;5 – Algo de acuerdo;6 – De acuerdo;6 – De acuerdo;5 – Algo de acuerdo;6 – De acuerdo;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;6 – De acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;La optimización del tiempo ;La pérdida del pensamiento crítico dando por buenas las respuestas de la IA;True;False;False;False;False;2026-04-15T09:00:09
11;32;Hombre;Operaciones / Producción;1–3 años;Máster;Otro;3 – A veces;ChatGPT;6 – De acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;2 – En desacuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;Encontrar información para después contrastar de manera más rápida ;Desinformación, información no contrastado respuesta de un motor de búsqueda ;True;True;True;False;True;2026-04-15T09:00:10
12;39;Hombre;Tecnología / IT;1–3 años;Máster;Consultoría;3 – A veces;Copilot;5 – Algo de acuerdo;3 – Algo en desacuerdo ;3 – Algo en desacuerdo ;5 – Algo de acuerdo;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;3 – Algo en desacuerdo;3 – Algo en desacuerdo;3 – Algo en desacuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;7 – Totalmente de acuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;una herramienta que te acompaña en la formación como guía.;Generar dependencia ;False;False;True;True;False;2026-04-15T09:00:11
13;40;Mujer;Recursos Humanos;Más de 5 años;Doctorado;Servicios;5 – Muy frecuentemente;ChatGPT;6 – De acuerdo;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo;5 – Algo de acuerdo;4 – Ni de acuerdo ni en desacuerdo;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;4 – Ni de acuerdo ni en desacuerdo ;6 – De acuerdo ;5 – Algo de acuerdo ;4 – Ni de acuerdo ni en desacuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;5 – Algo de acuerdo ;5 – Algo de acuerdo ;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;7 – Totalmente de acuerdo;Ayuda en el trabajo;Alucinaciones que puede general la IA ;True;True;True;True;False;2026-04-15T09:00:12
