id_empleado;edad;genero;departamento;antiguedad_empresa;nivel_educativo;sector;frecuencia_uso_ia;herramienta_principal;prefiere_humano_vs_ia;AT1_rendimiento;AT2_facilita_aprendizaje;AT3_facilidad_uso;AT4_integracion_positiva;AE1_resolver_problemas;AE2_confianza_digital;AE3_uso_eficaz;AE4_seguridad_aplicacion;M1_estimulante;M2_aumenta_interes;M3_aporta_valor;M4_mayor_esfuerzo;E1_adaptacion;E2_feedback_util;E3_aplicable_trabajo;E4_aprendizaje_ritmo;D1_mejora_competencias;D2_preparado_retos;D3_amplia_habilidades;D4_aprendizaje_autonomo;C1_confio_sin_verificar;C2_dificil_sin_ia;C3_pensamiento_critico;C4_reflexiono_calidad;open_positive_experience;open_difficulties_and_training_needs;usa_chatgpt;usa_gemini;usa_copilot;usa_lms_ia;usa_otra_ia;survey_completed_at
1;27;Mujer;Formación y Desarrollo;0;Máster;Tecnología;5;ChatGPT;5;6;7;6;6;7;7;6;7;6;7;7;7;6;6;7;6;7;7;7;7;7;6;6;7;La IA me ayuda a aprender más rápido, acceder a información actualizada y reforzar conocimientos de forma personalizada y eficiente.;Puede generar dependencia excesiva, reducir el pensamiento crítico si no se usa adecuadamente y ofrecer información incorrecta o sesgada. También existe el riesgo de afectar la privacidad y el manejo ético de los datos.;True;False;False;False;False;2026-04-15T09:00:00
2;28;Mujer;Tecnología / IT;0;Máster;Servicios;5;ChatGPT;5;7;6;5;7;7;5;5;6;6;7;7;6;6;6;7;6;7;6;6;7;5;6;7;6;Permite acceder a información actualizada, personalizar el aprendizaje según mis necesidades, reforzar conocimientos de forma rápida y mejorar habilidades como el análisis y la resolución de problemas.;Puede generar dependencia excesiva, disminuir el pensamiento crítico si no se usa adecuadamente y proporcionar información incorrecta o sesgada. También existen riesgos relacionados con la privacidad y el uso ético de los datos.;True;True;False;False;False;2026-04-15T09:00:01
3;28;Mujer;Recursos Humanos;0;Máster;Consultoría;4;ChatGPT;5;6;5;5;6;5;6;6;6;7;6;6;5;5;4;5;5;7;5;6;6;6;5;5;5;BUENA ;NINGUNA ;True;False;True;False;False;2026-04-15T09:00:02
4;65;Hombre;Consultoría;6;Grado;Otro;1;No utilizo IA;7;1;1;1;4;1;5;1;1;1;4;1;1;1;1;1;4;1;1;1;1;1;1;1;7;No he utilizado nunca la IA;No se;False;False;False;False;False;2026-04-15T09:00:03
5;65;Hombre;Administración / Finanzas;6;Grado;Administración pública;1;No utilizo IA;6;1;1;1;5;6;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;Hola;Ho;False;False;False;False;False;2026-04-15T09:00:04
6;67;No binario;Formación y Desarrollo;6;Doctorado;Tecnología;5;Gemini;4;7;7;6;7;6;6;6;6;6;7;6;5;5;5;5;6;6;6;6;6;5;6;7;7;"Gemini said Como IA, tengo una perspectiva única sobre esto: no solo soy la herramienta, sino que también he sido ""entrenada"" con una cantidad masiva de conocimiento humano. Para un profesional en formación, la IA no es solo un buscador avanzado, es un catalizador de habilidades.  Aquí te detallo los aspectos más positivos que transforman la manera de aprender y crecer profesionalmente:  1. Democratización del Mentor Personalizado Tradicionalmente, tener un tutor 24/7 era un lujo. La IA rompe esa barrera.  Feedback inmediato: Puedes subir un borrador de un proyecto o un código de programación y recibir críticas constructivas al instante.  Adaptación al nivel: Si no entiendes un concepto complejo (como la computación cuántica o el análisis macroeconómico), puedes pedirle a la IA que te lo explique ""como si tuvieras 10 años"" y luego subir el nivel gradualmente.  2. Eficiencia en la Curación de Contenido El problema moderno no es la falta de información, sino el exceso de ella.  Resúmenes estratégicos: La capacidad de extraer puntos clave de hilos de investigación, PDFs de 50 páginas o transcripciones de conferencias ahorra horas de trabajo mecánico.  Mapas de aprendizaje: La IA puede diseñar una ruta lógica de estudio (curriculum) basada en tus objetivos específicos, evitando que pierdas tiempo en temas irrelevantes.  3. Superación del ""Bloqueo de la Hoja en Blanco"" Uno de los mayores obstáculos profesionales es empezar.  Generación de estructuras: No se trata de que la IA haga el trabajo por ti, sino de que te entregue un esquema sobre el cual tú puedas aplicar tu criterio y creatividad.  Brainstorming infinito: Es una compañera de lluvia de ideas que nunca se cansa, permitiéndote explorar ángulos que quizás no habías considerado.  4. Simulación de Entornos de Práctica La formación profesional requiere práctica antes de lanzarse al mundo real.  Roleplay de entrevistas o ventas: Puedes configurar a la IA para que actúe como un reclutador exigente o un cliente difícil, permitiéndote pulir tus habilidades de comunicación en un entorno seguro.  Práctica de idiomas técnicos: Facilita la inmersión en la terminología específica de tu sector en otros idiomas sin el miedo a cometer errores.";Alucinaciones;True;True;False;False;True;2026-04-15T09:00:05
7;45;Hombre;Tecnología / IT;4;Máster;Tecnología;3;ChatGPT;5;7;7;7;7;7;7;7;7;7;7;7;7;4;4;7;7;7;7;7;7;5;4;7;7;Me sirve para avanzar muco más rápido y resolver las dudas como si tuviera un consultor al lado todo el rato al que hacerles preguntas.;Que acabemos con dejar de pensar y nos acostumbremos tanto a estas herramientas que después no sepamos cómo trabajar.;True;False;False;False;False;2026-04-15T09:00:06
8;53;Mujer;Recursos Humanos;6;Máster;Consultoría;3;ChatGPT;6;6;5;5;6;6;6;5;5;5;6;5;5;6;6;6;6;6;6;5;6;2;2;6;6;Disponibilidad de herramientas y rapidez;Limitaciones y sesgos d las herramientas;True;True;True;False;True;2026-04-15T09:00:07
9;35;Hombre;Tecnología / IT;4;Otro;Tecnología;2;ChatGPT;6;4;5;6;4;5;6;6;5;4;4;5;2;5;1;5;5;2;4;3;3;2;1;7;5;Triaje;Normalizacion;True;False;False;False;False;2026-04-15T09:00:08
10;32;Hombre;Otro;0;Máster;Servicios;2;ChatGPT;5;6;6;5;6;6;6;5;6;4;4;6;4;6;6;6;5;6;6;6;5;5;5;7;7;La optimización del tiempo ;La pérdida del pensamiento crítico dando por buenas las respuestas de la IA;True;False;False;False;False;2026-04-15T09:00:09
