"id_empleado";"edad";"genero";"departamento";"antiguedad_empresa";"nivel_educativo";"rol_tecnico";"sector";"frecuencia_uso_ia";"usa_chatgpt";"usa_gemini";"usa_copilot";"usa_lms_ia";"usa_otra_ia";"herramienta_principal";"prefiere_humano_vs_ia";"nivel_integracion_ia";"at1_rendimiento";"at2_facilita_aprendizaje";"at3_facilidad_uso";"at4_integracion_positiva";"ae1_resolver_problemas";"ae2_confianza_digital";"ae3_uso_eficaz";"ae4_seguridad_aplicacion";"m1_estimulante";"m2_aumenta_interes";"m3_aporta_valor";"m4_mayor_esfuerzo";"e1_adaptacion";"e2_feedback_util";"e3_aplicable_trabajo";"e4_aprendizaje_ritmo";"d1_mejora_competencias";"d2_preparado_retos";"d3_amplia_habilidades";"d4_aprendizaje_autonomo";"c1_confio_sin_verificar";"c2_dificil_sin_ia";"c3_pensamiento_critico";"c4_reflexiono_calidad";"survey_completed_at"
"1XVWCBPH";"50";"Mujer";"IT";"17";"Máster";"0";"Servicios";"2";"1";"1";"0";"0";"0";"Gemini";"6";"3";"2";"5";"6";"6";"3";"1";"4";"5";"7";"3";"4";"6";"5";"6";"5";"6";"7";"5";"7";"7";"4";"3";"5";"5";"2026-01-15T09:00:00"
"MMY0MFRF";"36";"No binario";"RRHH";"1";"FP Superior";"1";"Tecnología";"4";"0";"1";"1";"1";"0";"ChatGPT";"2";"4";"1";"6";"5";"3";"1";"5";"1";"4";"1";"7";"7";"4";"3";"7";"3";"7";"7";"1";"5";"2";"5";"3";"1";"3";"2026-01-15T09:01:00"
"5OYF5MXQ";"29";"Mujer";"Marketing";"16";"Máster";"0";"Industria";"5";"0";"1";"1";"0";"0";"ChatGPT";"4";"2";"7";"1";"5";"1";"5";"6";"6";"3";"4";"6";"2";"6";"2";"2";"5";"7";"6";"4";"2";"1";"1";"2";"4";"3";"2026-01-15T09:02:00"
"7FADIBHD";"42";"No binario";"Marketing";"12";"Máster";"1";"Servicios";"5";"1";"0";"1";"1";"0";"LMS IA";"1";"2";"1";"5";"7";"1";"3";"1";"5";"4";"3";"6";"1";"4";"3";"7";"4";"1";"3";"5";"2";"6";"4";"6";"3";"7";"2026-01-15T09:03:00"
"348YKIFK";"40";"Hombre";"RRHH";"19";"FP Superior";"1";"Tecnología";"5";"1";"0";"1";"0";"0";"Copilot";"7";"5";"7";"6";"1";"1";"3";"5";"7";"1";"1";"2";"2";"2";"2";"5";"1";"4";"5";"2";"4";"3";"6";"6";"1";"7";"2026-01-15T09:04:00"
"FAPF14M6";"44";"No binario";"Finanzas";"14";"Grado";"0";"Industria";"5";"1";"1";"0";"0";"0";"LMS IA";"7";"5";"4";"5";"1";"7";"1";"4";"2";"1";"6";"4";"3";"4";"3";"4";"7";"1";"2";"2";"6";"4";"2";"6";"2";"1";"2026-01-15T09:05:00"
"LQMU91LY";"32";"Mujer";"IT";"6";"FP Superior";"0";"Tecnología";"5";"1";"0";"0";"1";"0";"LMS IA";"4";"2";"6";"4";"4";"2";"2";"2";"5";"6";"4";"3";"4";"5";"2";"7";"5";"7";"4";"3";"1";"1";"6";"4";"1";"7";"2026-01-15T09:06:00"
"IC212KJK";"32";"Mujer";"Operaciones";"6";"Grado";"1";"Tecnología";"3";"0";"0";"0";"1";"0";"LMS IA";"2";"5";"3";"1";"6";"4";"4";"6";"4";"4";"1";"3";"2";"5";"6";"6";"5";"2";"7";"5";"5";"2";"3";"5";"5";"5";"2026-01-15T09:07:00"
"XS0NY8LJ";"45";"Hombre";"IT";"13";"Grado";"0";"Consultoría";"4";"1";"0";"1";"1";"0";"LMS IA";"7";"3";"7";"4";"5";"5";"6";"7";"5";"4";"1";"5";"1";"5";"4";"5";"1";"5";"5";"3";"2";"4";"4";"6";"7";"3";"2026-01-15T09:08:00"
"UOB0BD7F";"57";"No binario";"IT";"19";"Grado";"0";"Consultoría";"5";"0";"1";"0";"1";"1";"Otra";"5";"2";"5";"7";"2";"3";"7";"2";"4";"1";"3";"5";"7";"7";"2";"3";"7";"5";"4";"1";"5";"3";"4";"3";"7";"6";"2026-01-15T09:09:00"
"Q8BM5AHU";"45";"No binario";"Finanzas";"8";"FP Superior";"0";"Industria";"4";"1";"1";"1";"0";"1";"Otra";"1";"5";"1";"1";"3";"6";"2";"6";"4";"3";"7";"7";"2";"7";"2";"7";"3";"6";"4";"6";"2";"6";"1";"3";"4";"3";"2026-01-15T09:10:00"
"795UT2G3";"24";"Hombre";"IT";"2";"Grado";"1";"Consultoría";"3";"1";"0";"1";"1";"0";"Gemini";"1";"2";"7";"2";"1";"3";"5";"7";"4";"5";"6";"3";"5";"1";"1";"3";"1";"5";"2";"6";"5";"7";"3";"6";"6";"3";"2026-01-15T09:11:00"
"9DLT8ADA";"43";"No binario";"RRHH";"1";"Doctorado";"1";"Industria";"3";"1";"1";"0";"0";"1";"ChatGPT";"7";"4";"5";"6";"3";"6";"3";"2";"6";"7";"5";"7";"7";"7";"2";"4";"5";"6";"6";"6";"3";"4";"2";"7";"4";"5";"2026-01-15T09:12:00"
"Q90LO3MT";"23";"No binario";"RRHH";"15";"FP Superior";"0";"Consultoría";"4";"1";"0";"0";"0";"1";"LMS IA";"3";"1";"6";"1";"3";"7";"1";"6";"4";"5";"5";"7";"1";"2";"1";"6";"3";"6";"3";"5";"7";"7";"7";"6";"6";"7";"2026-01-15T09:13:00"
